OS,Date,Distinct ID for All Events - Distinct Count
Android,"Apr 10, 2023 - Apr 16, 2023",41
Android,"Apr 3, 2023 - Apr 9, 2023",31
Android,"Feb 13, 2023 - Feb 19, 2023",1
Android,"Feb 20, 2023 - Feb 26, 2023",7
Android,"Feb 27, 2023 - Mar 5, 2023",10
Android,"Mar 13, 2023 - Mar 19, 2023",21
Android,"Mar 20, 2023 - Mar 26, 2023",23
Android,"Mar 27, 2023 - Apr 2, 2023",30
Android,"Mar 6, 2023 - Mar 12, 2023",12
iOS,"Apr 10, 2023 - Apr 16, 2023",24
iOS,"Apr 3, 2023 - Apr 9, 2023",25
iOS,"Feb 13, 2023 - Feb 19, 2023",1
iOS,"Feb 20, 2023 - Feb 26, 2023",2
iOS,"Feb 27, 2023 - Mar 5, 2023",5
iOS,"Mar 13, 2023 - Mar 19, 2023",19
iOS,"Mar 20, 2023 - Mar 26, 2023",20
iOS,"Mar 27, 2023 - Apr 2, 2023",24
iOS,"Mar 6, 2023 - Mar 12, 2023",8
