Formula,OS,Date,"Oct 8 2022, 12:00AM - Apr 6 2023, 12:28PM"
Avg,Android,"Apr 3, 2023",60.75
Avg,Android,"Apr 4, 2023",103.66666666666667
Avg,Android,"Apr 5, 2023",124.15
Avg,Android,"Dec 1, 2022",969.7142857142857
Avg,Android,"Dec 10, 2022",83.74285714285715
Avg,Android,"Dec 11, 2022",42.9
Avg,Android,"Dec 12, 2022",42.8
Avg,Android,"Dec 13, 2022",87.86666666666667
Avg,Android,"Dec 14, 2022",79.46666666666667
Avg,Android,"Dec 15, 2022",183.53333333333333
Avg,Android,"Dec 16, 2022",161.125
Avg,Android,"Dec 17, 2022",71.60000000000001
Avg,Android,"Dec 18, 2022",72.275
Avg,Android,"Dec 19, 2022",129.5142857142857
Avg,Android,"Dec 2, 2022",490.9625
Avg,Android,"Dec 20, 2022",193.65
Avg,Android,"Dec 21, 2022",231.5
Avg,Android,"Dec 22, 2022",85.92
Avg,Android,"Dec 23, 2022",91.2
Avg,Android,"Dec 24, 2022",88.43333333333334
Avg,Android,"Dec 25, 2022",18.45
Avg,Android,"Dec 26, 2022",198.48
Avg,Android,"Dec 27, 2022",73.8
Avg,Android,"Dec 28, 2022",80.06666666666666
Avg,Android,"Dec 29, 2022",276.8666666666667
Avg,Android,"Dec 3, 2022",118.575
Avg,Android,"Dec 30, 2022",137.075
Avg,Android,"Dec 31, 2022",29.0
Avg,Android,"Dec 4, 2022",157.76666666666668
Avg,Android,"Dec 5, 2022",385.2
Avg,Android,"Dec 6, 2022",276.2
Avg,Android,"Dec 7, 2022",73.76666666666667
Avg,Android,"Dec 8, 2022",1445.375
Avg,Android,"Dec 9, 2022",160.13333333333333
Avg,Android,"Feb 1, 2023",222.05
Avg,Android,"Feb 10, 2023",109.55
Avg,Android,"Feb 11, 2023",60.4
Avg,Android,"Feb 12, 2023",91.76666666666667
Avg,Android,"Feb 13, 2023",72.73333333333333
Avg,Android,"Feb 14, 2023",63.0
Avg,Android,"Feb 15, 2023",952.775
Avg,Android,"Feb 16, 2023",103.83333333333333
Avg,Android,"Feb 17, 2023",300.2
Avg,Android,"Feb 18, 2023",179.25
Avg,Android,"Feb 19, 2023",51.65
Avg,Android,"Feb 2, 2023",31.4
Avg,Android,"Feb 20, 2023",145.4
Avg,Android,"Feb 21, 2023",295.45
Avg,Android,"Feb 22, 2023",141.35
Avg,Android,"Feb 23, 2023",233.20000000000002
Avg,Android,"Feb 24, 2023",584.7
Avg,Android,"Feb 25, 2023",71.6
Avg,Android,"Feb 26, 2023",317.23333333333335
Avg,Android,"Feb 27, 2023",39.55
Avg,Android,"Feb 28, 2023",173.35
Avg,Android,"Feb 3, 2023",381.1
Avg,Android,"Feb 4, 2023",98.53999999999999
Avg,Android,"Feb 5, 2023",98.06666666666666
Avg,Android,"Feb 6, 2023",89.7
Avg,Android,"Feb 7, 2023",97.8
Avg,Android,"Feb 8, 2023",39.12
Avg,Android,"Feb 9, 2023",23.8
Avg,Android,"Jan 1, 2023",96.9
Avg,Android,"Jan 10, 2023",176.35
Avg,Android,"Jan 11, 2023",425.87142857142857
Avg,Android,"Jan 12, 2023",87.2
Avg,Android,"Jan 13, 2023",59.4
Avg,Android,"Jan 14, 2023",15.7
Avg,Android,"Jan 15, 2023",119.85
Avg,Android,"Jan 16, 2023",211.48333333333335
Avg,Android,"Jan 17, 2023",605.25
Avg,Android,"Jan 18, 2023",120.125
Avg,Android,"Jan 19, 2023",105.0
Avg,Android,"Jan 2, 2023",28.85
Avg,Android,"Jan 20, 2023",194.20000000000002
Avg,Android,"Jan 21, 2023",76.42
Avg,Android,"Jan 22, 2023",175.65
Avg,Android,"Jan 23, 2023",178.5
Avg,Android,"Jan 24, 2023",88.95
Avg,Android,"Jan 25, 2023",184.55
Avg,Android,"Jan 26, 2023",150.4
Avg,Android,"Jan 27, 2023",84.0
Avg,Android,"Jan 28, 2023",28.95
Avg,Android,"Jan 29, 2023",14.2
Avg,Android,"Jan 3, 2023",43.575
Avg,Android,"Jan 30, 2023",70.825
Avg,Android,"Jan 31, 2023",644.4
Avg,Android,"Jan 4, 2023",97.56666666666666
Avg,Android,"Jan 5, 2023",29.6
Avg,Android,"Jan 6, 2023",96.4
Avg,Android,"Jan 8, 2023",113.0
Avg,Android,"Jan 9, 2023",545.35
Avg,Android,"Mar 1, 2023",93.65
Avg,Android,"Mar 10, 2023",86.10000000000001
Avg,Android,"Mar 12, 2023",437.90000000000003
Avg,Android,"Mar 13, 2023",277.775
Avg,Android,"Mar 14, 2023",866.35
Avg,Android,"Mar 15, 2023",141.2
Avg,Android,"Mar 16, 2023",331.3
Avg,Android,"Mar 17, 2023",315.8
Avg,Android,"Mar 18, 2023",47.3
Avg,Android,"Mar 19, 2023",41.7
Avg,Android,"Mar 2, 2023",125.45
Avg,Android,"Mar 20, 2023",337.4
Avg,Android,"Mar 21, 2023",53.5
Avg,Android,"Mar 22, 2023",468.06666666666666
Avg,Android,"Mar 23, 2023",10.1
Avg,Android,"Mar 24, 2023",17.8
Avg,Android,"Mar 25, 2023",60.55
Avg,Android,"Mar 26, 2023",11.8
Avg,Android,"Mar 27, 2023",92.05
Avg,Android,"Mar 28, 2023",218.95
Avg,Android,"Mar 29, 2023",68.5
Avg,Android,"Mar 3, 2023",1596.25
Avg,Android,"Mar 30, 2023",171.1
Avg,Android,"Mar 4, 2023",14.5
Avg,Android,"Mar 5, 2023",506.5
Avg,Android,"Mar 6, 2023",96.75
Avg,Android,"Mar 7, 2023",448.1333333333334
Avg,Android,"Mar 8, 2023",11.4
Avg,Android,"Mar 9, 2023",22.9
Avg,Android,"Nov 1, 2022",103.67999999999999
Avg,Android,"Nov 10, 2022",448.2142857142857
Avg,Android,"Nov 11, 2022",207.41666666666666
Avg,Android,"Nov 12, 2022",143.43333333333334
