Formula,OS,Date,"Oct 8 2022, 12:00AM - Apr 6 2023, 1:08PM"
Avg,Android,"Apr 1, 2023",97.95102040816327
Avg,Android,"Apr 2, 2023",159.596
Avg,Android,"Apr 3, 2023",105.7409090909091
Avg,Android,"Apr 4, 2023",99.8875
Avg,Android,"Apr 5, 2023",79.77948717948718
Avg,Android,"Dec 1, 2022",212.80133333333333
Avg,Android,"Dec 10, 2022",160.92676056338027
Avg,Android,"Dec 11, 2022",197.14935064935065
Avg,Android,"Dec 12, 2022",178.67166666666665
Avg,Android,"Dec 13, 2022",151.49054054054054
Avg,Android,"Dec 14, 2022",240.4558823529412
Avg,Android,"Dec 15, 2022",152.48166666666665
Avg,Android,"Dec 16, 2022",129.26764705882354
Avg,Android,"Dec 17, 2022",228.26119402985074
Avg,Android,"Dec 18, 2022",275.68939393939394
Avg,Android,"Dec 19, 2022",147.83333333333334
Avg,Android,"Dec 2, 2022",188.51728395061727
Avg,Android,"Dec 20, 2022",142.33442622950818
Avg,Android,"Dec 21, 2022",148.24237288135592
Avg,Android,"Dec 22, 2022",166.16129032258064
Avg,Android,"Dec 23, 2022",125.24305555555556
Avg,Android,"Dec 24, 2022",224.35999999999999
Avg,Android,"Dec 25, 2022",167.10461538461539
Avg,Android,"Dec 26, 2022",127.31044776119401
Avg,Android,"Dec 27, 2022",125.39848484848484
Avg,Android,"Dec 28, 2022",118.30181818181819
Avg,Android,"Dec 29, 2022",233.46935483870968
Avg,Android,"Dec 3, 2022",191.0681818181818
Avg,Android,"Dec 30, 2022",247.94
Avg,Android,"Dec 31, 2022",210.26037735849056
Avg,Android,"Dec 4, 2022",175.3739726027397
Avg,Android,"Dec 5, 2022",143.54202898550724
Avg,Android,"Dec 6, 2022",178.28354430379747
Avg,Android,"Dec 7, 2022",116.548
Avg,Android,"Dec 8, 2022",147.732
Avg,Android,"Dec 9, 2022",137.7565789473684
Avg,Android,"Feb 1, 2023",219.75925925925927
Avg,Android,"Feb 10, 2023",190.15645161290323
Avg,Android,"Feb 11, 2023",150.89999999999998
Avg,Android,"Feb 12, 2023",234.978431372549
Avg,Android,"Feb 13, 2023",151.79516129032257
Avg,Android,"Feb 14, 2023",128.5
Avg,Android,"Feb 15, 2023",187.6259259259259
Avg,Android,"Feb 16, 2023",171.47333333333333
Avg,Android,"Feb 17, 2023",146.6313725490196
Avg,Android,"Feb 18, 2023",119.49107142857143
Avg,Android,"Feb 19, 2023",172.11818181818182
Avg,Android,"Feb 2, 2023",376.41590909090905
Avg,Android,"Feb 20, 2023",129.36170212765958
Avg,Android,"Feb 21, 2023",116.2453125
Avg,Android,"Feb 22, 2023",153.73636363636362
Avg,Android,"Feb 23, 2023",99.18333333333334
Avg,Android,"Feb 24, 2023",204.5731707317073
Avg,Android,"Feb 25, 2023",109.54249999999999
Avg,Android,"Feb 26, 2023",149.07666666666668
Avg,Android,"Feb 27, 2023",105.63272727272728
Avg,Android,"Feb 28, 2023",160.77692307692308
Avg,Android,"Feb 3, 2023",176.95094339622642
Avg,Android,"Feb 4, 2023",98.83500000000001
Avg,Android,"Feb 5, 2023",106.904
Avg,Android,"Feb 6, 2023",127.7622641509434
Avg,Android,"Feb 7, 2023",142.44528301886794
Avg,Android,"Feb 8, 2023",172.78947368421052
Avg,Android,"Feb 9, 2023",153.74444444444444
Avg,Android,"Jan 1, 2023",288.67
Avg,Android,"Jan 10, 2023",157.74545454545455
Avg,Android,"Jan 11, 2023",181.26101694915255
Avg,Android,"Jan 12, 2023",257.03035714285716
Avg,Android,"Jan 13, 2023",153.61320754716982
Avg,Android,"Jan 14, 2023",295.9578125
Avg,Android,"Jan 15, 2023",174.50434782608696
Avg,Android,"Jan 16, 2023",219.60172413793103
Avg,Android,"Jan 17, 2023",156.26103896103896
Avg,Android,"Jan 18, 2023",181.6318181818182
Avg,Android,"Jan 19, 2023",212.5796296296296
Avg,Android,"Jan 2, 2023",117.28484848484848
Avg,Android,"Jan 20, 2023",146.15846153846152
Avg,Android,"Jan 21, 2023",112.68214285714285
Avg,Android,"Jan 22, 2023",199.12456140350878
Avg,Android,"Jan 23, 2023",128.84561403508772
Avg,Android,"Jan 24, 2023",138.78275862068966
Avg,Android,"Jan 25, 2023",147.67142857142858
Avg,Android,"Jan 26, 2023",171.84074074074073
Avg,Android,"Jan 27, 2023",138.87846153846155
Avg,Android,"Jan 28, 2023",121.59836065573771
Avg,Android,"Jan 29, 2023",263.24666666666667
Avg,Android,"Jan 3, 2023",143.76818181818183
Avg,Android,"Jan 30, 2023",220.721875
Avg,Android,"Jan 31, 2023",166.12333333333333
Avg,Android,"Jan 4, 2023",132.29393939393938
Avg,Android,"Jan 5, 2023",128.45396825396827
Avg,Android,"Jan 6, 2023",226.1274193548387
Avg,Android,"Jan 7, 2023",167.0327868852459
Avg,Android,"Jan 8, 2023",173.70975609756098
Avg,Android,"Jan 9, 2023",142.89701492537313
Avg,Android,"Mar 1, 2023",164.2051282051282
Avg,Android,"Mar 10, 2023",133.90217391304347
Avg,Android,"Mar 11, 2023",282.5341463414634
Avg,Android,"Mar 12, 2023",159.25555555555556
Avg,Android,"Mar 13, 2023",177.28837209302324
Avg,Android,"Mar 14, 2023",154.3108695652174
Avg,Android,"Mar 15, 2023",152.07872340425533
Avg,Android,"Mar 16, 2023",109.95454545454545
Avg,Android,"Mar 17, 2023",117.37446808510639
Avg,Android,"Mar 18, 2023",115.09318181818183
Avg,Android,"Mar 19, 2023",203.6326530612245
Avg,Android,"Mar 2, 2023",208.53720930232558
Avg,Android,"Mar 20, 2023",118.50178571428572
Avg,Android,"Mar 21, 2023",144.78536585365853
Avg,Android,"Mar 22, 2023",163.70540540540543
Avg,Android,"Mar 23, 2023",87.97272727272728
Avg,Android,"Mar 24, 2023",147.76666666666668
Avg,Android,"Mar 25, 2023",183.98571428571427
Avg,Android,"Mar 26, 2023",129.93157894736842
Avg,Android,"Mar 27, 2023",151.66
Avg,Android,"Mar 28, 2023",134.03181818181818
Avg,Android,"Mar 29, 2023",180.59444444444446
Avg,Android,"Mar 3, 2023",114.75681818181819
Avg,Android,"Mar 30, 2023",186.72777777777776
Avg,Android,"Mar 31, 2023",171.38541666666666
Avg,Android,"Mar 4, 2023",91.7720930232558
Avg,Android,"Mar 5, 2023",154.28297872340426
Avg,Android,"Mar 6, 2023",125.08571428571429
Avg,Android,"Mar 7, 2023",116.71555555555555
Avg,Android,"Mar 8, 2023",155.04722222222222
Avg,Android,"Mar 9, 2023",99.47999999999999
Avg,Android,"Nov 1, 2022",218.60490196078433
Avg,Android,"Nov 10, 2022",174.5
Avg,Android,"Nov 11, 2022",167.13095238095238
Avg,Android,"Nov 12, 2022",217.42857142857142
Avg,Android,"Nov 13, 2022",274.2526315789474
Avg,Android,"Nov 14, 2022",152.40208333333334
Avg,Android,"Nov 15, 2022",172.3372093023256
Avg,Android,"Nov 16, 2022",207.1
Avg,Android,"Nov 17, 2022",165.4720588235294
Avg,Android,"Nov 18, 2022",172.47323943661974
Avg,Android,"Nov 19, 2022",212.6148148148148
Avg,Android,"Nov 2, 2022",231.0979381443299
Avg,Android,"Nov 20, 2022",193.87674418604652
Avg,Android,"Nov 21, 2022",140.57894736842104
Avg,Android,"Nov 22, 2022",202.31643835616438
Avg,Android,"Nov 23, 2022",162.65844155844158
Avg,Android,"Nov 24, 2022",240.58840579710142
Avg,Android,"Nov 25, 2022",152.61466666666666
Avg,Android,"Nov 26, 2022",181.996
Avg,Android,"Nov 27, 2022",218.45180722891567
Avg,Android,"Nov 28, 2022",142.640350877193
Avg,Android,"Nov 29, 2022",179.7761904761905
Avg,Android,"Nov 3, 2022",150.58144329896908
Avg,Android,"Nov 30, 2022",167.18783783783783
Avg,Android,"Nov 4, 2022",173.25106382978723
Avg,Android,"Nov 5, 2022",163.39438202247192
Avg,Android,"Nov 6, 2022",200.6315789473684
Avg,Android,"Nov 7, 2022",163.5135802469136
