Formula,OS,Date,"Oct 8 2022, 12:00AM - Apr 6 2023, 1:00PM"
avg,Android,"Apr 1, 2023",177.0
avg,Android,"Apr 2, 2023",92.6
avg,Android,"Apr 3, 2023",62.35
avg,Android,"Apr 4, 2023",60.7
avg,Android,"Apr 5, 2023",686.5
avg,Android,"Apr 6, 2023",110.55
avg,Android,"Feb 13, 2023",467.95
avg,Android,"Feb 14, 2023",673.8399999999999
avg,Android,"Feb 15, 2023",71.8
avg,Android,"Feb 16, 2023",422.05
avg,Android,"Feb 17, 2023",85.4
avg,Android,"Feb 18, 2023",204.9
avg,Android,"Feb 19, 2023",134.3
avg,Android,"Feb 20, 2023",490.85
avg,Android,"Feb 21, 2023",132.13333333333333
avg,Android,"Feb 22, 2023",31.85
avg,Android,"Feb 23, 2023",13.3
avg,Android,"Feb 24, 2023",34.7
avg,Android,"Feb 25, 2023",22.3
avg,Android,"Feb 26, 2023",117.15
avg,Android,"Feb 27, 2023",97.1
avg,Android,"Feb 28, 2023",123.5
avg,Android,"Mar 1, 2023",899.95
avg,Android,"Mar 10, 2023",81.6
avg,Android,"Mar 11, 2023",62.0
avg,Android,"Mar 12, 2023",75.0
avg,Android,"Mar 13, 2023",67.39999999999999
avg,Android,"Mar 14, 2023",31.5
avg,Android,"Mar 16, 2023",335.75
avg,Android,"Mar 17, 2023",102.4
avg,Android,"Mar 18, 2023",373.2
avg,Android,"Mar 19, 2023",53.25
avg,Android,"Mar 20, 2023",145.1
avg,Android,"Mar 21, 2023",19.55
avg,Android,"Mar 22, 2023",675.2
avg,Android,"Mar 24, 2023",20.9
avg,Android,"Mar 25, 2023",308.75
avg,Android,"Mar 26, 2023",137.5
avg,Android,"Mar 27, 2023",771.8
avg,Android,"Mar 29, 2023",320.6
avg,Android,"Mar 30, 2023",850.7
avg,Android,"Mar 31, 2023",63.9
avg,Android,"Mar 4, 2023",218.1
avg,Android,"Mar 5, 2023",115.85
avg,Android,"Mar 6, 2023",165.86666666666667
avg,Android,"Mar 7, 2023",13.2
avg,Android,"Mar 8, 2023",47.9
avg,Android,"Mar 9, 2023",79.25
avg,iOS,"Apr 1, 2023",57.86666666666667
avg,iOS,"Apr 2, 2023",109.10000000000001
avg,iOS,"Apr 3, 2023",97.8
avg,iOS,"Apr 4, 2023",146.56
avg,iOS,"Apr 5, 2023",70.7
avg,iOS,"Apr 6, 2023",26.7
avg,iOS,"Feb 11, 2023",273.4
avg,iOS,"Feb 13, 2023",1540.6
avg,iOS,"Feb 14, 2023",222.0666666666667
avg,iOS,"Feb 15, 2023",258.9714285714286
avg,iOS,"Feb 16, 2023",214.68571428571428
avg,iOS,"Feb 17, 2023",144.6
avg,iOS,"Feb 18, 2023",534.1
avg,iOS,"Feb 19, 2023",76.78
avg,iOS,"Feb 20, 2023",120.25999999999999
avg,iOS,"Feb 21, 2023",72.55
avg,iOS,"Feb 22, 2023",73.85
avg,iOS,"Feb 23, 2023",70.56666666666666
avg,iOS,"Feb 24, 2023",293.625
avg,iOS,"Feb 25, 2023",59.6
avg,iOS,"Feb 26, 2023",44.4
avg,iOS,"Feb 27, 2023",46.260000000000005
avg,iOS,"Feb 28, 2023",150.35
avg,iOS,"Feb 4, 2023",4982.15
avg,iOS,"Feb 5, 2023",707.25
avg,iOS,"Feb 6, 2023",3053.6
avg,iOS,"Feb 8, 2023",623.25
avg,iOS,"Feb 9, 2023",255.8
avg,iOS,"Mar 1, 2023",36.05
avg,iOS,"Mar 10, 2023",37.75
avg,iOS,"Mar 11, 2023",51.75
avg,iOS,"Mar 12, 2023",128.7
avg,iOS,"Mar 13, 2023",37.9
avg,iOS,"Mar 14, 2023",49.56666666666666
avg,iOS,"Mar 15, 2023",38.4
avg,iOS,"Mar 16, 2023",58.1
avg,iOS,"Mar 17, 2023",43.5
avg,iOS,"Mar 18, 2023",107.73333333333333
avg,iOS,"Mar 19, 2023",76.85
avg,iOS,"Mar 2, 2023",51.98333333333333
avg,iOS,"Mar 20, 2023",82.275
avg,iOS,"Mar 21, 2023",74.43333333333334
avg,iOS,"Mar 22, 2023",113.85714285714286
avg,iOS,"Mar 23, 2023",140.5142857142857
avg,iOS,"Mar 24, 2023",149.1
avg,iOS,"Mar 25, 2023",41.22
avg,iOS,"Mar 26, 2023",66.06666666666666
avg,iOS,"Mar 27, 2023",160.425
avg,iOS,"Mar 28, 2023",94.25
avg,iOS,"Mar 29, 2023",96.17999999999999
avg,iOS,"Mar 3, 2023",50.7
avg,iOS,"Mar 30, 2023",159.35
avg,iOS,"Mar 31, 2023",93.33333333333333
avg,iOS,"Mar 4, 2023",80.06666666666666
avg,iOS,"Mar 5, 2023",50.85
avg,iOS,"Mar 6, 2023",55.25
avg,iOS,"Mar 7, 2023",41.8
avg,iOS,"Mar 8, 2023",28.2
avg,iOS,"Mar 9, 2023",70.15
