Formula,OS,Date,"Oct 8 2022, 12:00AM - Apr 6 2023, 12:45PM"
avg,Android,"Apr 3, 2023",129.1
avg,Android,"Feb 23, 2023",1525.2
avg,Android,"Feb 24, 2023",930.4
avg,Android,"Mar 13, 2023",240.4
avg,Android,"Mar 15, 2023",488.5
avg,Android,"Mar 16, 2023",777.7
avg,Android,"Mar 17, 2023",121.4
avg,Android,"Mar 18, 2023",41.6
avg,Android,"Mar 24, 2023",2821.3
avg,Android,"Mar 26, 2023",31.6
avg,Android,"Mar 27, 2023",566.8
avg,Android,"Mar 28, 2023",1135.8
avg,Android,"Mar 29, 2023",1696.9666666666665
avg,iOS,"Apr 2, 2023",333.7
avg,iOS,"Feb 25, 2023",433.7
avg,iOS,"Mar 1, 2023",61.6
avg,iOS,"Mar 14, 2023",13.8
avg,iOS,"Mar 17, 2023",199.6
avg,iOS,"Mar 18, 2023",18.6
avg,iOS,"Mar 19, 2023",808.6
avg,iOS,"Mar 2, 2023",2345.1
avg,iOS,"Mar 20, 2023",171.66666666666666
avg,iOS,"Mar 22, 2023",213.6
avg,iOS,"Mar 23, 2023",125.5
avg,iOS,"Mar 24, 2023",1277.7666666666667
avg,iOS,"Mar 25, 2023",282.68
avg,iOS,"Mar 26, 2023",344.6333333333334
avg,iOS,"Mar 27, 2023",552.5
avg,iOS,"Mar 28, 2023",527.3000000000001
avg,iOS,"Mar 29, 2023",63.2
avg,iOS,"Mar 3, 2023",260.9
avg,iOS,"Mar 30, 2023",165.89999999999998
avg,iOS,"Mar 31, 2023",21.6
avg,iOS,"Mar 4, 2023",130.9
avg,iOS,"Mar 5, 2023",18.3
avg,iOS,"Mar 6, 2023",108.3
avg,iOS,"Mar 7, 2023",209.7
avg,iPadOS,"Mar 28, 2023",254.83333333333334
