Users,iOS Version,Value
UID - Distinct Count,12.5.6,2
UID - Distinct Count,14.4,1
UID - Distinct Count,14.6,1
UID - Distinct Count,14.7.1,1
UID - Distinct Count,15.3.1,1
UID - Distinct Count,15.4.1,2
UID - Distinct Count,15.5,5
UID - Distinct Count,15.6.1,19
UID - Distinct Count,15.6,5
UID - Distinct Count,15.7.1,3
UID - Distinct Count,15.7.2,1
UID - Distinct Count,15.7.3,2
UID - Distinct Count,15.7,1
UID - Distinct Count,16.0.2,15
UID - Distinct Count,16.0.3,3
UID - Distinct Count,16.0,18
UID - Distinct Count,16.1.1,25
UID - Distinct Count,16.1.2,10
UID - Distinct Count,16.1,9
UID - Distinct Count,16.2,37
UID - Distinct Count,16.3.1,64
UID - Distinct Count,16.3,15
UID - Distinct Count,16.4,2
