Event Name,Time,Distinct ID,City,Country,Operating System,Session Length,Duration
TripsDaily,1677671548.936,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,,14.13
LiveTracking,1677671534.807,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,,7.672
TripsDaily,1677671526.656,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,,
Dashboard,1677670888.437,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,0.07800006866455078
TripsDaily,1677670888.183,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,
TripParticular,1677670886.193,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,83.83100008964539
TripsDaily,1677670802.2,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,9.450999975204468
Dashboard,1677670792.653,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,52.125
TripsDaily,1677670740.246,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,30.85199999809265
TripsWeekly,1677670709.372,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,
Dashboard,1677670632.898,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,,8.934000015258789
TripsWeekly,1677670046.914,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,23.96099996566772
TripsDaily,1677670022.933,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,21.7020001411438
Dashboard,1677670001.103,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,29.13699984550476
TripsDaily,1677666059.729,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,,1.386
TripsDaily,1677666055.685,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,,5.264
Dashboard,1677666050.23,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,,4.35
TripParticular,1677666045.015,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,,1.73
Dashboard,1677664938.081,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,,18.88100004196167
TripsWeekly,1677664806.767,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,3.415
TripsMonthly,1677664803.353,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,4.267
TripsDaily,1677664799.086,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,2.015
Dashboard,1677664796.968,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,0.242
Wallet,1677664796.783,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,1.432
Wallet,1677664796.783,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,
Wallet,1677664791.829,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,8.485
Dashboard,1677664783.301,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,2.268
WalletViewExpense,1677664781.032,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,2.928
WalletViewExpense,1677664723.765,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,4.537
Dashboard,1677664719.228,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,19.596
LoginOTP,1677664699.337,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,11.005
EnterRegisteredMobileNumber,1677664688.331,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,,0.055
Dashboard,1677654588.652,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,,9.865999937057495
Dashboard,1677654578.057,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,,63.3659999370575
TripParticular,1677654514.098,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,,0.7590000629425049
Dashboard,1677654513.049,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,,0.06699991226196289
Dashboard,1677652559.793,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,17.42799997329712
Dashboard,1677652417.971,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,50.5019998550415
Dashboard,1677652230.684,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,2.384000062942505
Dashboard,1677651451.797,63fb6bc40cef5dc71d6f7ea2::0b5ba624-518b-434b-bb0a-c5c0e2609d1e,Chandigarh,IN,Android,,55.83799982070923
