Din,RegistrationTS,OS,Din - Distinct Count
8991102205678841846,2023-03-13T18:15:49,undefined,1
8991102205678841929,2023-03-10T08:30:50,undefined,1
8991982104921126359,2023-05-14T18:26:56,iOS,1
8991982104921126839,2023-04-22T15:19:59,undefined,1
8991982104921127258,2023-02-26T19:55:08,undefined,1
8991982104921127258,undefined,undefined,1
8991982104921127282,2023-05-20T18:56:16,undefined,1
8991982104921143248,2023-05-17T20:20:50,iOS,1
8991982104921152827,2023-04-27T19:10:01,undefined,1
8991982104921162701,2023-03-15T12:08:22,undefined,1
8991982104921164640,2023-02-15T19:31:01,iOS,1
8991982104921175364,2023-04-17T11:53:22,undefined,1
8991982104921176768,2023-04-27T21:53:14,iOS,1
8991982104921177105,2023-05-01T15:54:19,undefined,1
8991982104921177733,2023-03-31T17:32:13,iOS,1
8991982104921180745,2023-04-21T14:51:23,iOS,1
8991982104921180745,2023-04-21T14:51:23,undefined,1
8991982104921184358,2023-05-12T12:49:04,undefined,1
8991982104921185124,2023-05-03T12:52:00,iOS,1
8991982104921188375,2023-03-14T19:40:54,iOS,1
8991982104921188375,2023-03-14T19:40:54,undefined,1
8991982104921190553,2023-05-27T18:47:02,iOS,1
8991982104921191429,2023-03-20T19:11:33,undefined,1
8991982104921192823,2023-04-01T17:03:12,iOS,1
8991982104921194951,2023-03-19T12:27:13,iOS,1
8991982104921194951,2023-03-19T12:27:13,undefined,1
8991982104921195016,2023-04-12T16:08:39,undefined,1
8991982104921195065,2023-04-16T18:31:53,undefined,1
8991982104921196915,2023-03-16T13:38:01,iOS,1
8991982104921198168,2023-03-30T12:54:53,undefined,1
8991982104921198796,2023-03-27T23:23:36,undefined,1
8991982104921198812,2023-03-14T20:17:02,iOS,1
8991982104921198820,2023-04-30T14:13:02,iOS,1
8991982104921198903,2023-04-24T18:12:27,undefined,1
8991982104921199018,2023-04-18T20:19:54,undefined,1
8991982104921199018,2023-04-28T18:52:36,undefined,1
8991982104921199026,2023-03-06T18:40:59,undefined,1
8991982104921199059,2023-03-16T20:53:08,undefined,1
8991982104921199091,2023-03-03T18:27:56,iOS,1
8991982104921199117,2023-04-07T16:19:14,iOS,1
8991982104921199125,2023-04-02T15:49:54,undefined,1
8991982104921199166,2023-05-07T14:28:02,iOS,1
8991982104921199166,2023-05-07T14:28:02,undefined,1
8991982104921199174,2023-02-15T16:30:18,undefined,1
8991982104921199216,2023-04-05T16:55:54,iOS,1
8991982104921199216,2023-04-05T16:55:54,undefined,1
8991982104921199232,2023-04-24T17:40:13,iOS,1
8991982104921199232,2023-04-24T17:40:13,undefined,1
8991982104921201269,2023-03-22T18:16:58,undefined,1
8991982104921201301,2023-05-27T20:06:28,iOS,1
8991982104921201319,2023-04-17T14:07:12,undefined,1
8991982104921201368,2023-03-07T17:39:26,iOS,1
8991982104921201376,2023-03-07T14:05:48,undefined,1
8991982104921201384,2023-03-29T18:15:37,iOS,1
8991982104921201509,2023-04-07T20:30:15,iOS,1
8991982104921202309,2023-03-28T18:51:25,iOS,1
8991982104921202309,2023-03-28T18:51:25,undefined,1
8991982104921202598,2023-05-05T21:21:08,iOS,1
8991982104921202721,2023-03-16T20:16:32,iOS,1
8991982104921202788,2023-05-24T17:23:40,iOS,1
8991982104921203372,2023-03-12T18:19:54,undefined,1
8991982104921203554,2023-03-16T18:30:03,iOS,1
8991982104921203596,2023-04-14T17:13:29,undefined,1
8991982104921204602,2023-02-21T16:32:20,iOS,1
8991982104921205203,2023-02-23T17:59:15,undefined,1
8991982104921205229,2023-05-21T18:02:05,undefined,1
8991982104921205328,2023-04-06T14:03:17,undefined,1
8991982104921205369,2023-04-07T19:40:32,undefined,1
8991982104921205492,2023-03-22T13:48:51,iOS,1
8991982104921205559,2023-04-17T17:56:11,undefined,1
8991982104921205567,2023-04-23T16:22:51,undefined,1
8991982104921205641,2023-04-29T14:06:59,undefined,1
8991982104921205674,2023-04-10T11:44:17,iOS,1
8991982104921205682,2023-04-19T18:26:37,undefined,1
8991982104921205922,2023-03-25T21:35:36,iOS,1
8991982104921206805,2023-05-12T13:23:52,undefined,1
8991982104921207126,2023-05-15T16:28:29,iOS,1
8991982104921207126,2023-05-15T16:28:29,undefined,1
8991982104921207308,2023-03-31T16:28:42,iOS,1
8991982104921207324,2023-05-06T09:14:59,undefined,1
8991982104921207613,2023-04-10T11:55:20,undefined,1
8991982104921207621,2023-03-26T13:28:18,iOS,1
8991982104921207753,2023-05-21T22:07:03,iOS,1
8991982104921208256,2023-03-16T20:34:12,iOS,1
8991982104921209270,2023-03-17T13:04:51,undefined,1
8991982104921209379,2023-04-04T15:04:47,iOS,1
8991982104921209460,2023-03-12T17:08:57,iOS,1
8991982104921209486,2023-04-14T13:19:46,undefined,1
8991982104921209569,2023-05-29T14:31:12,iOS,1
8991982104921209635,2023-04-07T16:41:03,undefined,1
8991982104921209726,2023-02-20T15:02:03,iOS,1
8991982104921209726,undefined,undefined,1
8991982104921210161,2023-04-21T20:23:52,iOS,1
8991982104921210815,2023-05-21T17:42:57,undefined,1
8991982104921210823,2023-04-12T12:53:29,undefined,1
8991982104921210872,2023-03-29T15:12:47,undefined,1
8991982104921210930,2023-02-27T14:03:24,undefined,1
8991982104921210997,2023-03-31T16:26:25,iOS,1
8991982104921211078,2023-03-30T14:04:50,undefined,1
8991982104921211086,2023-03-24T14:27:56,undefined,1
8991982104921211151,2023-04-18T18:26:30,iOS,1
8991982104921211227,2023-03-26T14:23:34,iOS,1
8991982104921211342,2023-03-07T18:08:55,undefined,1
8991982104921211359,2023-04-12T23:27:08,undefined,1
8991982104921211375,2023-04-11T12:23:06,iOS,1
8991982104921211482,2023-03-14T19:26:36,iOS,1
8991982104921211599,2023-05-01T14:40:44,undefined,1
8991982104921211615,2023-03-19T10:50:13,iOS,1
8991982104921211722,2023-04-01T13:01:28,undefined,1
8991982104921211797,2023-05-10T19:17:30,iOS,1
8991982104921211888,2023-05-07T12:53:01,undefined,1
8991982104921212217,2023-05-16T17:50:39,undefined,1
8991982104921212233,2023-04-28T19:36:58,iOS,1
8991982104921212258,2023-04-17T15:17:02,iOS,1
8991982104921212431,2023-03-16T19:57:19,iOS,1
8991982104921212506,2023-03-03T18:58:45,iOS,1
8991982104921212597,2023-05-22T16:00:11,undefined,1
8991982104921212639,2023-05-07T17:20:49,undefined,1
8991982104921212654,2023-03-20T15:15:19,iOS,1
8991982104921212753,2023-03-03T16:22:18,iOS,1
8991982104921213058,2023-03-17T17:28:51,undefined,1
8991982104921213124,2023-04-11T15:52:39,undefined,1
8991982104921213298,2023-04-09T14:59:41,undefined,1
8991982104921213322,2023-04-12T19:34:00,undefined,1
8991982104921213355,2023-03-16T12:27:50,iOS,1
8991982104921213355,2023-03-16T12:27:50,undefined,1
8991982104921213488,2023-02-18T18:10:37,undefined,1
8991982104921213504,2023-05-05T18:45:09,iOS,1
8991982104921213504,2023-05-05T18:45:09,undefined,1
8991982104921213520,2023-05-06T18:19:01,undefined,1
8991982104921213611,2023-03-10T16:58:08,iOS,1
8991982104921213660,2023-04-18T15:02:40,undefined,1
8991982104921213736,2023-05-17T11:32:35,undefined,1
8991982104921214452,2023-03-03T12:59:19,undefined,1
8991982104921214452,undefined,undefined,1
8991982104921214478,2023-05-20T18:47:19,undefined,1
8991982104921214536,2023-04-12T19:15:04,undefined,1
8991982104921214635,2023-03-13T14:58:03,undefined,1
8991982104921214684,2023-04-30T00:04:16,iOS,1
8991982104921214692,2023-02-22T16:56:34,undefined,1
