Formula,Module,OS,"May 17 2023, 12:00AM - May 30 2023, 11:59PM"
Android,Alerts,Android,1697.158001
Android,Authentication,Android,1465.571001
Android,Car Details,Android,424.573
Android,Car Health,Android,1963.732
Android,Dashboard,Android,27139.593002
Android,Feedback,Android,2.71
Android,Firmware,Android,370.386001
Android,Help,Android,206.592
Android,Live Tracking,Android,42731.512998
Android,Notifications,Android,232.208999
Android,Privacy Policy,Android,23.231
Android,Profile,Android,2143.628001
Android,Trip History,Android,19287.420002
Android,User Education,Android,326.588001
Android,Wallet,Android,2526.789997
Android,undefined,Android,32344.290011
iOS,Alerts,iOS,1072.755
iOS,Authentication,iOS,323.409
iOS,Car Details,iOS,240.437
iOS,Car Health,iOS,784.077
iOS,Dashboard,iOS,15960.201
iOS,Firmware,iOS,169.622
iOS,Help,iOS,244.206
iOS,Live Tracking,iOS,17418.828
iOS,Profile,iOS,1008.011
iOS,Trip History,iOS,8874.745
iOS,User Education,iOS,369.793
iOS,Wallet,iOS,634.294
iOS,undefined,iOS,572928.402
