Event Name,Time,Distinct ID,City,Country,Operating System,UID
Splash,1674552705.372,d7bff322-abdd-4452-a92c-1353395739f1,Gurgaon,IN,Android,
Splash,1674550248.657,d7bff322-abdd-4452-a92c-1353395739f1,Gurgaon,IN,Android,
Splash,1674547009.124,d7bff322-abdd-4452-a92c-1353395739f1,Gurgaon,IN,Android,
AccountDetails,1674471901.209,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674471901.209,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674471022.885,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Profile,1674470954.511,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Profile,1674470954.511,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Dashboard,1674470954.511,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Notifications,1674470954.511,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674470954.51,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AddGeoFence,1674470954.51,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
GeoFencingList,1674470954.51,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
GeoFencingList,1674470911.196,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AddGeoFence,1674470911.196,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674470911.196,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
GeoFencingList,1674470881.903,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674470565.007,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
SpeedRanges,1674470565.007,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674470413.378,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Profile,1674470413.378,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674470413.378,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
SpeedRanges,1674470413.377,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674470413.377,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
GeoFencingList,1674470413.377,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674469727.618,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
GeoFencingList,1674469727.618,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674469727.618,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674469604.114,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
DrivingAlerts,1674469604.114,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674469604.113,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
SpeedRanges,1674469604.113,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
SpeedRanges,1674469604.113,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674469604.113,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
GeoFencingList,1674469604.113,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
SpeedRanges,1674469604.113,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674469604.113,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AlertSettings,1674469604.112,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Profile,1674469604.112,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
HelpSection,1674469402.419,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Profile,1674469402.418,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
AccountDetails,1674469349.679,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Dashboard,1674469000.193,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Dashboard,1674468975.72,63ce5e4a16b08dc72b285b5b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce5e4a16b08dc72b285b5b
Splash,1674467953.659,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AccountDetails,1674463969.235,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674463929.993,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674463929.993,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Dashboard,1674463929.993,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674463886.028,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Dashboard,1674463886.028,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674463886.027,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Dashboard,1674463886.027,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
AccountDetails,1674463886.027,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674463886.026,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Dashboard,1674463886.026,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Profile,1674463592.403,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
DrivingAlerts,1674463592.403,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
AlertSettings,1674463592.403,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
SpeedRanges,1674462531.072,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
AlertSettings,1674462531.072,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
Profile,1674462531.071,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
GeoFencingList,1674462531.071,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
AlertSettings,1674462531.071,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
AlertSettings,1674462531.071,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
AlertSettings,1674462531.071,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
HelpSection,1674462469.522,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
Profile,1674462469.521,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
Dashboard,1674462372.942,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
Splash,1674462345.445,63109ab074f91004a1949a9e::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,63109ab074f91004a1949a9e
Dashboard,1674462332.219,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
Dashboard,1674462326.17,63ce43c516b08dc72b249be2::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,63ce43c516b08dc72b249be2
Splash,1674462120.984,6374de4454246f10ad1c3280::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,6374de4454246f10ad1c3280
Splash,1674462002.933,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,62fcebdafffb03e8836557da
Splash,1674457466.762,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,62fcebdafffb03e8836557da
Splash,1674457354.353,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Gurgaon,IN,Android,62fcebdafffb03e8836557da
Splash,1674421661.159,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674421649.582,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674421642.974,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674421520.199,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674420826.887,63ca75c716b08dc72ba182ae::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Splash,1674420339.48,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674420305.597,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674420164.048,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674420105.406,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674419429.784,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674419414.234,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674419129.99,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674419081.118,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674419077.599,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674419074.601,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
Splash,1674419071.576,62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,62fcebdafffb03e8836557da
AccountDetails,1674418844.116,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Profile,1674418844.115,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Dashboard,1674418844.115,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
AccountDetails,1674418844.115,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Dashboard,1674418784.539,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Splash,1674418461.44,63cd2e2d16b08dc72bffb0a9::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cd2e2d16b08dc72bffb0a9
Splash,1674418458.847,63cd2e2d16b08dc72bffb0a9::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cd2e2d16b08dc72bffb0a9
Splash,1674393694.808,6374de4454246f10ad1c3280::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,6374de4454246f10ad1c3280
Splash,1674387746.215,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674385508.487,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674385327.225,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674385322.363,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674382869.285,eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,
Splash,1674374649.227,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
PrivacyPolicy,1674306574.917,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
LegalLinks,1674306560.622,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674306559.828,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Wallet,1674306558.165,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
TripsDaily,1674306557.765,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674306557.301,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674306553.281,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674306438.022,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674306436.854,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674298505.378,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
