Users,Cohort,Value
Android,Alerts,3
Android,All User Profiles,25
Android,Authentication,13
Android,Car Details,3
Android,Car Health,3
Android,Dashboard,7
Android,Feedback,1
Android,Firmware,3
Android,Help,2
Android,Notifications,1
Android,Privacy Policy,1
Android,Profile,7
Android,Trip History,3
Android,Wallet,3
iOS,All User Profiles,25
iOS,Authentication,9
iOS,Car Details,2
iOS,Car Health,1
iOS,Dashboard,4
iOS,Firmware,1
iOS,Help,1
iOS,Live Tracking,1
iOS,Privacy Policy,1
iOS,Profile,7
iOS,Trip History,2
iOS,Wallet,2
