$distinct_id,$email,$last_seen,$country_code,$region,$city,UID
"63d382df130e90b69b6e4127::1ea5d190-86b2-47e2-8735-43b60ef45b63","undefined","2023-01-27T14:17:40","India","Haryana","Gurgaon","63d382df130e90b69b6e4127"
"ec1dc764-581b-4cee-9273-951faae75abf","undefined","2023-01-31T13:39:13","India","National Capital Territory of Delhi","Delhi","undefined"
"72040cf3-c388-4a55-b438-2a6b1fbb5b56","undefined","2023-01-31T12:57:56","India","National Capital Territory of Delhi","Delhi","undefined"
"63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf","undefined","2023-01-27T13:13:43","India","National Capital Territory of Delhi","New Delhi","63cc05c416b08dc72bd8806b"
"63d382df130e90b69b6e4127::b6eaca46-e980-4554-bb78-240269c76dcf","undefined","2023-01-31T18:20:07","India","National Capital Territory of Delhi","Delhi","63d382df130e90b69b6e4127"
"63d3942e130e90b69b70de4d::690dd5d3-54ea-44bb-b1ce-19c54b402e24","undefined","2023-02-01T13:26:27","India","National Capital Territory of Delhi","New Delhi","63d3942e130e90b69b70de4d"
"7dff3da4-5adc-488c-a95a-f8a95e0b6ac8","undefined","2023-01-31T10:34:30","India","Haryana","Gurgaon","undefined"
"51120bee-0f26-4bc7-b280-25cc5dbc6baa","undefined","2023-01-25T16:44:21","India","National Capital Territory of Delhi","Delhi","undefined"
"63cfc1d216b08dc72b589c40::d7bff322-abdd-4452-a92c-1353395739f1","undefined","2023-01-25T13:29:54","India","Haryana","Gurgaon","63cfc1d216b08dc72b589c40"
"1ea5d190-86b2-47e2-8735-43b60ef45b63","undefined","2023-01-27T13:54:29","India","Haryana","Gurgaon","undefined"
"63d1934f16b08dc72b98a3c5::b6eaca46-e980-4554-bb78-240269c76dcf","undefined","2023-01-27T13:18:05","India","National Capital Territory of Delhi","New Delhi","63d1934f16b08dc72b98a3c5"
"ab474b35-22d3-486b-be1e-726677ee87c7","undefined","2023-01-31T12:49:04","India","National Capital Territory of Delhi","Delhi","undefined"
"63cc05c416b08dc72bd8806b::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee","undefined","2023-01-31T10:53:05","India","Haryana","Gurgaon","63cc05c416b08dc72bd8806b"
"63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c","undefined","2023-01-31T14:51:48","India","National Capital Territory of Delhi","Delhi","63d0e9e716b08dc72b80bbb9"
"c1fe13e8-e362-4195-8f92-29e82b47719c","undefined","2023-02-01T13:28:26","India","Haryana","Gurgaon","undefined"
"690dd5d3-54ea-44bb-b1ce-19c54b402e24","undefined","2023-01-27T14:35:20","India","Haryana","Gurgaon","undefined"
"63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee","undefined","2023-01-25T15:47:04","India","National Capital Territory of Delhi","New Delhi","63d0f9cf16b08dc72b830e3f"
"62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf","undefined","2023-01-26T20:24:58","India","National Capital Territory of Delhi","Delhi","62c70c594785e51926d58cb3"
"08ba0fb8-bd3b-4c03-86b8-c1cec90bd5f5","undefined","2023-01-31T11:06:13","India","Haryana","Gurgaon","undefined"
"bcb7861e-e493-4544-bfa1-dc924b30dc78","undefined","2023-01-27T14:17:58","India","Haryana","Gurgaon","undefined"
"db230efb-ec8f-42aa-a7c3-1c81e71eef41","undefined","2023-01-31T12:37:13","India","National Capital Territory of Delhi","Delhi","undefined"
