Event Name,Time,Operating System,Session Length
App Session,1666859224.415,Android,32.8
App Session,1666859013.227,iOS,57.8
App Session,1666858853.739,Android,45.7
App Session,1666858834.897,Android,87.4
App Session,1666858735.844,Android,30.4
App Session,1666858684.884,Android,23.7
App Session,1666858652.919,Android,16.2
App Session,1666858649.277,Android,13.2
App Session,1666858424.408,iOS,42.2
App Session,1666858392.095,Android,34.4
App Session,1666858282.323,iOS,38.4
App Session,1666858112.15,Android,92.9
App Session,1666858040.226,iOS,16.9
App Session,1666858016.472,Android,17.8
App Session,1666858012.139,Android,31.3
App Session,1666857931.338,Android,15.3
App Session,1666857918.812,iOS,42.1
App Session,1666857819.78,Android,62.3
App Session,1666857818.302,Android,70
App Session,1666857740.61,iOS,60.2
App Session,1666857733.576,Android,30.9
App Session,1666857696.707,Android,59.9
App Session,1666857685.459,Android,11
App Session,1666857661.553,Android,16.6
App Session,1666857627.614,Android,32.3
App Session,1666857594.311,Android,19.8
App Session,1666857568.587,Android,43.2
App Session,1666857560.328,Android,11.2
App Session,1666857522.085,Android,36.8
App Session,1666857521.408,Android,30
App Session,1666857458.32,Android,48.7
App Session,1666857453.753,iOS,87.5
App Session,1666857442.326,Android,17.9
App Session,1666857398.45,Android,13.7
App Session,1666857368.707,Android,25
App Session,1666857363.504,Android,10.4
App Session,1666857342.455,Android,30.5
App Session,1666857308.313,iOS,45.4
App Session,1666857297.256,iOS,12.5
App Session,1666857019.579,Android,15.6
App Session,1666856976.583,Android,1257.5
App Session,1666856812.606,Android,16.8
App Session,1666856706.69,iOS,27.3
App Session,1666856675.782,Android,62
App Session,1666856643.534,iOS,27.5
App Session,1666856247.794,Android,14
App Session,1666856191.865,iOS,26.4
App Session,1666856153.945,Android,10.4
App Session,1666856123.442,Android,24.7
App Session,1666856101.741,Android,123.1
App Session,1666856038.252,Android,12.6
App Session,1666856001.862,Android,16.1
App Session,1666855979.461,Android,21.4
App Session,1666855924.206,Android,46.6
App Session,1666855701.308,iOS,50.2
App Session,1666855253.216,iOS,16.2
App Session,1666855193.494,Android,119.9
App Session,1666855107.963,Android,32.9
App Session,1666855097.015,Android,28.2
App Session,1666855092.717,iOS,35.4
App Session,1666854968.334,Android,23.5
App Session,1666854935.906,Android,31.3
App Session,1666854796.138,iOS,295.1
App Session,1666854706.792,iOS,171.4
App Session,1666854501.364,Android,22.3
App Session,1666854452.735,iOS,81.5
App Session,1666854448.186,iOS,22.5
App Session,1666854431.306,Android,16.5
App Session,1666854368.756,Android,21.1
App Session,1666854367.903,iOS,42.8
App Session,1666854354.317,iOS,32.1
App Session,1666854309.605,iOS,48
App Session,1666854242.973,iOS,133.1
App Session,1666854015.11,iOS,27.4
App Session,1666853684.07,Android,15.8
App Session,1666853638.165,iOS,152.4
App Session,1666853577.726,iOS,21
App Session,1666853461.786,iOS,151.6
App Session,1666853348.293,Android,161.7
App Session,1666853337.67,Android,29.7
App Session,1666853269.52,iOS,135.9
App Session,1666853252.423,Android,141.4
App Session,1666853109.15,Android,59.2
App Session,1666852164.144,Android,19.6
App Session,1666852000.607,Android,80.7
App Session,1666851710.648,Android,20.4
App Session,1666851319.885,Android,134.7
App Session,1666851199.627,iOS,34.9
App Session,1666851076.735,iOS,38.5
App Session,1666850779.466,iOS,21.1
App Session,1666850775.422,Android,1459.1
App Session,1666850500.032,Android,11.9
App Session,1666850449.915,Android,31.4
App Session,1666850158.729,Android,46.2
App Session,1666849882.193,Android,42.9
App Session,1666849697.114,Android,131.2
App Session,1666849650.512,Android,70.8
App Session,1666849237.053,iOS,29.7
App Session,1666849190.999,iOS,45.4
App Session,1666849134.298,Android,135.3
App Session,1666848523.653,Android,33.1
App Session,1666848486.966,iOS,16.9
App Session,1666848462.51,Android,28.7
App Session,1666848388.13,Android,32.4
App Session,1666848337.104,Android,21.6
App Session,1666848205.382,Android,34.3
App Session,1666848058.268,Android,1321.8
App Session,1666847915.771,Android,17
App Session,1666847352.297,iOS,36.3
App Session,1666847210.052,Android,40.5
App Session,1666847128.372,Android,15.5
App Session,1666846732.224,Android,61.3
App Session,1666846669.639,Android,21
App Session,1666846646.323,Android,22.6
App Session,1666846635.033,Android,43.8
App Session,1666846597.602,Android,23.4
App Session,1666846584.754,Android,127.4
App Session,1666846489.728,Android,66.9
App Session,1666846395.781,iOS,50.7
App Session,1666846199.585,Android,30
App Session,1666845842.908,Android,158.7
App Session,1666845774.743,iOS,21.2
App Session,1666845474.511,Android,44.4
App Session,1666845346.859,Android,11.9
App Session,1666845258.203,Android,131
App Session,1666845122.819,Android,75.7
App Session,1666845024.75,Android,14.9
App Session,1666844888.874,Android,406.4
App Session,1666844252.984,Android,139.5
App Session,1666843907.992,Android,124.2
App Session,1666843719.237,iOS,189.4
App Session,1666843318.306,Android,11
App Session,1666843305.607,Android,185.2
App Session,1666843279.146,iOS,10
App Session,1666843214.314,iOS,34.9
App Session,1666843176.291,iOS,19.9
App Session,1666843135.74,Android,335.4
App Session,1666843115.364,Android,116.2
App Session,1666843026.519,iOS,144.2
App Session,1666842986.859,Android,84.5
App Session,1666842772.261,Android,221.5
App Session,1666842681.248,iOS,126
App Session,1666842553.316,iOS,164.5
App Session,1666842508.427,Android,47.1
App Session,1666842385.532,iOS,18.3
App Session,1666842268.591,Android,21.7
App Session,1666841931.881,iOS,20.4
App Session,1666841900.34,Android,18.6
App Session,1666841825.702,Android,33.2
App Session,1666841680.139,Android,58.8
App Session,1666841508.065,Android,13.1
App Session,1666840889.329,Android,16.2
App Session,1666840701.96,iOS,70.4
App Session,1666840622.775,iOS,31.8
App Session,1666840553.842,iOS,267.8
App Session,1666840453.795,Android,57.3
App Session,1666840170.558,iOS,47.5
App Session,1666840121.545,iOS,15.2
App Session,1666840000.364,Android,64.1
App Session,1666839922.282,Android,123.5
App Session,1666839906.061,iOS,12.6
App Session,1666839678.81,Android,11.2
App Session,1666839628.793,iOS,35
App Session,1666839624.667,Android,92.6
App Session,1666839507.75,Android,50.4
App Session,1666839474.097,Android,75.7
App Session,1666839119.873,Android,17
App Session,1666838315.442,Android,48.8
App Session,1666838117.795,Android,96.2
App Session,1666837800.602,iOS,23.6
App Session,1666836679.837,iOS,21.1
App Session,1666835915.608,Android,96.1
App Session,1666834514.929,Android,43.3
App Session,1666830344.494,Android,12.4
App Session,1666830322.393,Android,21.8
App Session,1666830286.465,Android,46.6
App Session,1666829447.188,Android,32.4
App Session,1666829430.045,iOS,78.4
App Session,1666829234.603,iOS,71.1
App Session,1666816278.73,Android,92.5
App Session,1666816183.126,Android,110.1
App Session,1666816035.316,Android,44.8
App Session,1666815788.01,Android,20.6
App Session,1666815013.582,Android,15.7
App Session,1666814992.227,Android,19.4
App Session,1666814520.037,iOS,84.9
App Session,1666814432.571,iOS,53.2
App Session,1666812950.703,iPadOS,97.7
App Session,1666811121.415,iOS,41.1
App Session,1666811019.275,iOS,53.8
App Session,1666808095.875,Android,260.4
App Session,1666807181.569,Android,32.6
App Session,1666806610.513,iOS,330.1
App Session,1666806560.407,Android,26.6
App Session,1666806217.597,Android,142.6
App Session,1666805980.427,Android,86.8
App Session,1666805950.357,iOS,46.6
App Session,1666805948.008,Android,10.1
App Session,1666804766.876,Android,18.9
App Session,1666804481.067,Android,11.3
App Session,1666804469.652,Android,20.6
App Session,1666804242.252,Android,97.4
App Session,1666804117.415,Android,159.3
App Session,1666804101.164,iOS,61.2
App Session,1666804045.113,Android,149.9
App Session,1666803854.768,iOS,11.8
App Session,1666803792.861,iOS,22.1
App Session,1666803596.48,Android,57.6
App Session,1666803433.001,Android,103.7
App Session,1666803303.27,Android,56.5
App Session,1666803169.993,Android,12.9
App Session,1666802855.48,iOS,32.1
App Session,1666802821.563,iOS,70.9
App Session,1666802701.021,Android,45.5
App Session,1666802634.896,iOS,79.7
App Session,1666802618.778,Android,195
App Session,1666802203.524,Android,64
App Session,1666801762.916,Android,22.7
App Session,1666801735.36,Android,20.6
App Session,1666801729.457,iOS,35.2
App Session,1666801634.865,Android,23.5
App Session,1666801606.067,Android,18.7
App Session,1666801577.962,iOS,89.6
App Session,1666801538.307,iOS,13.9
App Session,1666801494.667,Android,100.6
App Session,1666801468.634,iOS,294.7
App Session,1666801240.383,Android,15.8
App Session,1666801205.332,Android,38.2
App Session,1666801150.23,Android,36.1
App Session,1666801070.124,Android,103.4
App Session,1666800925.188,Android,78.8
App Session,1666800880.273,iOS,19.3
App Session,1666800837.432,iOS,18
App Session,1666800812.906,Android,39.4
App Session,1666800744.126,Android,20.9
App Session,1666800631.554,Android,47.1
App Session,1666800591.376,iOS,47.6
App Session,1666800134.682,Android,41.5
App Session,1666799910.046,iOS,72.6
App Session,1666799714.391,Android,19.4
App Session,1666799666.417,Android,35.5
App Session,1666799570.371,iOS,57.2
App Session,1666799507.025,Android,21.3
App Session,1666799501.476,Android,13.8
App Session,1666799420.822,iOS,19.5
App Session,1666799374.519,iOS,24.6
App Session,1666799275.817,Android,36
App Session,1666799236.833,Android,20
App Session,1666799156.43,Android,90.8
App Session,1666799065.23,Android,30.3
App Session,1666799013.063,Android,23.3
App Session,1666798988.911,Android,50.3
App Session,1666798465.932,iOS,255.8
App Session,1666798387.401,iOS,229.1
App Session,1666798110.413,iOS,70.9
App Session,1666797576.351,iOS,96.3
App Session,1666797395.682,iOS,63.6
App Session,1666797095.078,Android,78.5
App Session,1666796974.633,Android,11.5
App Session,1666796880.43,Android,69.2
App Session,1666796694.132,Android,85
App Session,1666796461.804,Android,56.8
App Session,1666796406.104,Android,95.6
App Session,1666796305.076,Android,891.2
App Session,1666795876.229,Android,30.6
App Session,1666795670.23,Android,20.9
App Session,1666795402.51,Android,125.5
App Session,1666794911.04,iOS,24.5
App Session,1666794839.82,Android,56.3
App Session,1666794793.369,iOS,16.8
App Session,1666794770.362,iOS,17.3
App Session,1666794750.777,iOS,19.8
App Session,1666794647.779,Android,173.7
App Session,1666794604.787,iOS,46.7
App Session,1666794493.697,Android,25.7
App Session,1666793935.048,Android,19
App Session,1666793630.275,iOS,54.2
App Session,1666793524.532,Android,16.4
App Session,1666793154.823,Android,10.9
App Session,1666792581.87,iOS,39.2
App Session,1666792420.73,Android,17.5
App Session,1666792402.643,iOS,39.4
App Session,1666792321.903,Android,61.2
App Session,1666791932.664,iOS,20.3
App Session,1666791582.702,Android,53
App Session,1666791507.318,Android,46.9
App Session,1666791448.812,Android,80.7
App Session,1666791356.046,Android,46.2
App Session,1666791266.407,Android,61
App Session,1666791246.488,Android,65.4
App Session,1666790881.796,Android,15.1
App Session,1666790733.883,Android,83.1
App Session,1666790608.062,iOS,20
App Session,1666790514.434,iOS,218.2
App Session,1666790381.094,Android,22
App Session,1666790168.922,Android,22
App Session,1666790144.922,Android,83.9
App Session,1666790104.602,Android,14.8
App Session,1666790082.746,Android,14.8
App Session,1666789731.099,Android,44.8
App Session,1666789591.034,Android,20.2
App Session,1666789479.642,Android,15.3
App Session,1666788995.805,Android,13.1
App Session,1666788642.126,Android,18
App Session,1666788286.507,iOS,14.8
App Session,1666788150.792,Android,45.1
App Session,1666787983.192,iOS,333.1
App Session,1666787898.666,iOS,12.5
App Session,1666787888.756,Android,12.7
App Session,1666787672.853,Android,58.4
App Session,1666787655.864,Android,15.7
App Session,1666787445.45,Android,13.5
App Session,1666787444.527,Android,28.7
App Session,1666787305.605,Android,24.9
App Session,1666787279.523,iOS,52.1
App Session,1666787199.609,Android,11.8
App Session,1666787147.06,iOS,10.1
App Session,1666787134.2,iOS,45.8
App Session,1666787025.761,Android,35.4
App Session,1666787021,iOS,165.4
App Session,1666786830.188,iOS,57.1
App Session,1666786643.467,Android,128.6
App Session,1666786172.417,Android,25.5
App Session,1666785879.585,iOS,115.1
App Session,1666785564.902,Android,34.3
App Session,1666785501.595,Android,64.9
App Session,1666785431.734,iOS,69.6
App Session,1666785361.604,iOS,83.8
App Session,1666785345.218,Android,32
App Session,1666785274.329,iOS,12.1
App Session,1666785137.498,iOS,17.9
App Session,1666785087.817,Android,83.6
App Session,1666785036.699,iOS,43
App Session,1666784932.969,iOS,55.9
App Session,1666784929.433,Android,38.1
App Session,1666784871.429,iOS,58.8
App Session,1666784844.083,iOS,53.2
App Session,1666784829.623,Android,148.7
App Session,1666784770.09,Android,45.4
App Session,1666784681.814,Android,21
App Session,1666784675.72,iOS,62.7
App Session,1666784639.899,Android,30.1
App Session,1666784638.48,Android,34.9
App Session,1666784592.467,iOS,34.9
App Session,1666784500.079,iOS,78.1
App Session,1666784198.715,Android,19.8
App Session,1666784054.967,Android,12.1
App Session,1666784034.396,Android,26.7
App Session,1666784010.251,Android,111.7
App Session,1666783951.44,Android,14.3
App Session,1666783897.161,Android,21.5
App Session,1666783842.89,Android,40.3
App Session,1666783831.928,Android,26.3
App Session,1666783814.786,Android,48.2
App Session,1666783757.183,Android,37
App Session,1666783718.76,Android,30.8
App Session,1666783691.209,Android,21
App Session,1666783680.631,Android,56.7
App Session,1666783677.941,Android,25.3
App Session,1666783614.13,iOS,122.3
App Session,1666783594.578,iOS,94.2
App Session,1666783566.481,iOS,25.6
App Session,1666783494.295,iOS,10.8
App Session,1666783450.31,iOS,18.2
App Session,1666783198.846,Android,121
App Session,1666783086.076,Android,43.9
App Session,1666783083.575,iOS,18.8
App Session,1666782868.241,Android,19.2
App Session,1666782819.196,Android,88
App Session,1666782607.006,Android,67.4
